0.0936,0.0964,0.0996,0.0836,0.0868,0.0737,0.0803,0.0967,0.0962,0.0771
0.0486,0.0580,0.0675,0.0615,0.0708,0.0709,0.0643,0.0515,0.0644,0.0388
0.0452,0.0453,0.0549,0.0516,0.0420,0.0516,0.0515,0.0549,0.0516,0.0325
0.0453,0.0516,0.0485,0.0516,0.0516,0.0516,0.0453,0.0516,0.0484,0.0325
0.0708,0.0929,0.0711,0.0644,0.0775,0.0809,0.0614,0.0646,0.0739,0.0575
0.0355,0.0548,0.0293,0.0357,0.0293,0.0452,0.0390,0.0421,0.0487,0.0325
0.0388,0.0325,0.0357,0.0294,0.0261,0.0356,0.0293,0.0325,0.0325,0.0356
0.0325,0.0325,0.0325,0.0325,0.0325,0.0324,0.0325,0.0325,0.0325,0.0388
0.0645,0.0484,0.0804,0.0704,0.0680,0.0677,0.0707,0.0708,0.1097,0.0420
0.0484,0.0420,0.0357,0.0357,0.0326,0.0389,0.0261,0.0454,0.0421,0.0421
0.0326,0.0357,0.0325,0.0325,0.0356,0.0356,0.0325,0.0325,0.0357,0.0325
0.0357,0.0325,0.0293,0.0325,0.0325,0.0325,0.0325,0.0325,0.0357,0.0324